Date,SP,BH
1/1/2009,825.880005,89502
1/2/2009,735.090027,78600
1/3/2009,797.869995,86700
1/4/2009,872.809998,94000
1/5/2009,919.140015,91600
1/6/2009,919.320007,90000
1/7/2009,987.47998,97000
1/8/2009,1020.619995,100850
1/9/2009,1057.079956,101000
1/10/2009,1036.189941,99000
1/11/2009,1095.630005,100600
1/12/2009,1115.099976,99200
1/1/2010,1073.869995,114600
1/2/2010,1104.48999,119800
1/3/2010,1169.430054,121800
1/4/2010,1186.689941,115325
1/5/2010,1089.410034,105910
1/6/2010,1030.709961,120000
1/7/2010,1101.599976,117000
1/8/2010,1049.329956,118675
1/9/2010,1141.199951,124500
1/10/2010,1183.26001,119300
1/11/2010,1180.550049,120200
1/12/2010,1257.640015,120450
1/1/2011,1286.119995,122425
1/2/2011,1327.219971,131300
1/3/2011,1325.829956,125300
1/4/2011,1363.609985,124750
1/5/2011,1345.199951,118775
1/6/2011,1320.640015,116105
1/7/2011,1292.280029,111500
1/8/2011,1218.890015,109769
1/9/2011,1131.420044,106800
1/10/2011,1253.300049,116950
1/11/2011,1246.959961,118500
1/12/2011,1257.599976,114755
1/1/2012,1312.410034,117925
1/2/2012,1365.680054,117934
1/3/2012,1408.469971,121900
1/4/2012,1397.910034,120800
1/5/2012,1310.329956,118850
1/6/2012,1362.160034,124945
1/7/2012,1379.319946,127445
1/8/2012,1406.579956,126560
1/9/2012,1440.670044,132700
1/10/2012,1412.160034,129505
1/11/2012,1416.180054,131916
1/12/2012,1426.189941,134060
1/1/2013,1498.109985,145875
1/2/2013,1514.680054,152600
1/3/2013,1569.189941,156280
1/4/2013,1597.569946,159000
1/5/2013,1630.73999,171300
1/6/2013,1606.280029,168600
1/7/2013,1685.72998,173900
1/8/2013,1632.969971,167050
1/9/2013,1681.550049,170410
1/10/2013,1756.540039,172994
1/11/2013,1805.810059,174750
1/12/2013,1848.359985,177900
1/1/2014,1782.589966,169511
1/2/2014,1859.449951,173708
1/3/2014,1872.339966,187350
1/4/2014,1883.949951,193275
1/5/2014,1923.569946,192000
1/6/2014,1960.22998,189900
1/7/2014,1930.670044,188124
1/8/2014,2003.369995,205880
1/9/2014,1972.290039,206900
1/10/2014,2018.050049,210000
1/11/2014,2067.560059,223065
1/12/2014,2058.899902,226000
1/1/2015,1994.98999,215865
1/2/2015,2104.5,221180
1/3/2015,2067.889893,217500
1/4/2015,2085.51001,213400
1/5/2015,2107.389893,214800
1/6/2015,2063.110107,204850
1/7/2015,2103.840088,214000
1/8/2015,1972.180054,202531
1/9/2015,1920.030029,195240
1/10/2015,2079.360107,204596
1/11/2015,2080.409912,201360
1/12/2015,2043.939941,197800
1/1/2016,1940.23999,194360
1/2/2016,1932.22998,202555
1/3/2016,2059.73999,213450
1/4/2016,2065.300049,219000
1/5/2016,2096.949951,211695
1/6/2016,2098.860107,216975
1/7/2016,2173.600098,216000
1/8/2016,2170.949951,225760
1/9/2016,2168.27002,216220
1/10/2016,2126.149902,215700
1/11/2016,2198.810059,237000
1/12/2016,2238.830078,244121
1/1/2017,2278.870117,245980
1/2/2017,2363.639893,257100
1/3/2017,2362.719971,249850
1/4/2017,2384.199951,247780
1/5/2017,2411.800049,248440
1/6/2017,2423.409912,254700
